Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Blockchain and the evolution of institutional technologies: Implications for innovation policy.","Allen, Darcy W.E.; Berg, Chris; Markey-Towler, Brendan; Novak, Mikayla; Potts, Jason","Research Policy",="00487333",,="Feb2020","49","1","N.PAG","1","140207338","10.1016/j.respol.2019.103865","Elsevier B.V.","Article","Transaction costs; Economic systems; Government policy; Technological innovations; Economic opportunities; Institutional environment","Governance; Institutions; Platforms; Public policy; Technology; Transactions costs","• Blockchain is an institutional technology that lowers the cost of institutional entrepreneurship across economic systems. • Blockchain lowers the cost of institutional innovation by reducing the transaction costs associated with contracting. • Evolutionary modelling shows blockchain technology providing entrepreneurial opportunities for improved economic coordination and governance. • Public policies geared toward adoption and usage of blockchain is conceived as a new feature of innovation policy. • Potential gains from blockchain institutional innovation present opportunities for economic discovery, learning and policy coordination. For the past century economists have proposed a suite of theories relating to industrial dynamics, technological change and innovation. There has been an implication in these models that the institutional environment is stable. However, a new class of institutional technologies—most notably blockchain technology—lower the cost of institutional entrepreneurship along these margins, propelling a process of institutional evolution. This presents a new type of innovation process, applicable to the formation and development of institutions for economic governance and coordination. This paper develops a replicator dynamic model of institutional innovation and proposes some implications of this innovation for innovation policy. Given the influence of public policies on transaction costs and associated institutional choices, it is indicated that policy settings conductive to the adoption and use of blockchain technology would elicit entrepreneurial experiments in institutional forms harnessing new coordinative possibilities in economic exchange. Conceptualisation of blockchain-related public policy an innovation policy in its own right has significant implications for the operation and understanding of open innovation systems in a globalised context. [ABSTRACT FROM AUTHOR] Copyright of Research Policy is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=140207338&site=ehost-live"
"The Economics of Line-Sitting.","Cui, Shiliang; Wang, Zhongbin; Yang, Luyi","Management Science",="00251909",,="Jan2020","66","1","227","16","141084513","10.1287/mnsc.2018.3212","INFORMS: Institute for Operations Research","Article","Price discrimination; Customer services; Economics; Business models; Operations management","customer welfare; line-sitting; pricing; priority; queueing games; revenue; service operations","This paper studies an emerging business model of line-sitting in which customers seeking service can hire others (line-sitters) to wait in line on behalf of them. We develop a queueing-game-theoretic model that captures the interaction among customers, the line-sitting firm, and the service provider to examine the impact of line-sitting on the service provider's revenue and customer welfare. We also contrast line-sitting with the well-known priority purchasing scheme, as both allow customers to pay extra to skip the wait. Our main results are as follows. First, we find that both accommodating line-sitting and selling priority can bring in extra revenue for the service provider, although by different means—selling priority increases revenue mainly by allowing the service provider to practice price discrimination that extracts more customer surplus, whereas line-sitting does so through demand expansion, attracting customers who would not otherwise join. Second, the priority purchasing scheme tends to make the customer population worse off, whereas line-sitting can be a win–win proposition for both the service provider and the customers. Nevertheless, having the additional option of hiring line-sitters does not always benefit customers as a whole because the demand expansion effect also induces negative congestion externalities. Finally, despite the fact that the service provider collects the priority payment as revenue but not the line-sitting payment, which accrues to the third-party line-sitting firm, we demonstrate that, somewhat surprisingly, accommodating line-sitting can raise more revenue for the service provider than directly selling priority. This paper was accepted by Charles Corbett, operations management. [ABSTRACT FROM AUTHOR] Copyright of Management Science is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=141084513&site=ehost-live"
"B2B relationship calculus: quantifying resource effects in service-dominant logic.","deLeon, Anthony; Chatterjee, Sharmila","Journal of the Academy of Marketing Science",="00920703",,="May2017","45","3","402","26","122098880","10.1007/s11747-015-0467-0","Springer Nature","Article","Business-to-business transactions; Value (Economics); Logic; Marketing; Customer relations; Dealers (Retail trade); Customer satisfaction; Business intelligence; Administrative Management and General Management Consulting Services; Marketing Consulting Services","Business-to-business marketing; Operand and operant resources; Realized value; Relational performance; Relationship satisfaction; Service-dominant logic; Technology assimilation; Value mindset","Increasingly, knowledgeable business-to-business (B2B) customers and evolving customer needs are leading to seismic shifts in vendor-client interactions. Across industries, sellers are changing their business models from a simple goods orientation to a hybrid goods-services model, placing greater emphasis on delivering complete customer solutions. In such an environment, companies must find ways to prioritize investments in resource development. The service-dominant (S-D) logic framework offers significant insights into this challenge; however, these effects have not been tested quantitatively. This study addresses that gap, examining the influence of various seller resources on buyer satisfaction. An empirical analysis of buying organizations that purchased and implemented business intelligence systems finds that 'augmented' operant resources that the buyers ascribe to the software's sellers-resources that go above and beyond expectations-are the most significant predictors of both successful technology assimilation and overall customer relationship quality. In particular, an augmented operant resource reflecting a seller's ability to see value creation opportunities from the buyer's perspective ( value mindset) has up to three times the effect on relationship satisfaction as 'core' operant resources such as product-specific expertise or basic interpersonal service skills. These results can help sellers prioritize resource investments. [ABSTRACT FROM AUTHOR] Copyright of Journal of the Academy of Marketing Science is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=122098880&site=ehost-live"
"Ecosystem as Structure.","Adner, Ron","Journal of Management",="01492063",,="Jan2017","43","1","39","20","120132828","10.1177/0149206316678451","Sage Publications Inc.","Article","Business models; Innovation management; Technological innovations; Ecological economics; Institutional environment","cooperative strategy; design & boundaries; industry evolution/structure; innovation management; macro topics; structure; technology strategy","Over the past 20 years, the term “ecosystem” has become pervasive in discussions of strategy, both scholarly and applied. Its rise has mirrored an increasing interest and concern among both researchers and managers with interdependence across organizations and activities. This article presents a structuralist approach to conceptualizing the ecosystem construct. It presents a clear definition of the ecosystem construct, a grammar for characterizing ecosystem structure, and a characterization of the distinctive aspects of ecosystem strategy. This approach offers an explicit examination of the relationship among ecosystems and a host of alternative constructs (business models, platforms, coopetition, multisided markets, networks, technology systems, supply chains, value networks) that helps characterize where the ecosystem construct adds, and does not add, insight for the strategy literature. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=120132828&site=ehost-live"
"Reflections on ICT-enabled Bright Society Research.","Jae Kyu Lee","Information Systems Research",="10477047",,="Mar2016","27","1","1","5","114646952","10.1287/isre.2016.0627","INFORMS: Institute for Operations Research","Article","Information technology industry; Information services; Information storage & retrieval systems; All Other Information Services; Surgical Appliance and Supplies Manufacturing; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; Surgical and Medical Instrument Manufacturing; Health information technology; Medical technology; Computer crime prevention; Societies",,"Since the advent of the AIS Grand Vision Project of ICT-enabled Bright Society (in short, Bright ICT), there has been significant excitement as well as confusion about the concept. To resolve ambiguities about the types of research that are consistent with this vision, the notions of Restorative Bright ICT Research and Enriching Bright ICT Research are defined. In addition, we propose three perspectives that can differentiate Bright ICT research from traditional research approaches to create a disruptive impact on society. To address societal problems that are often global in scope, Bright ICT research recommends taking a holistic design of future society encompassing technologies and policies as well as business models driven by visionary principles. This paradigm can be an extension of design science for the scope of a Macro Information Society. [ABSTRACT FROM AUTHOR] Copyright of Information Systems Research is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=114646952&site=ehost-live"
"Motivation and sorting of human capital in open innovation.","Belenzon, Sharon; Schankerman, Mark","Strategic Management Journal (John Wiley & Sons, Inc.)",="01432095",,="Jun2015","36","6","795","26","102276029","10.1002/smj.2284","John Wiley & Sons, Inc.","Article","Business models; Employee motivation; Human capital; Open innovation; Innovations in business; Computer software development; Open source software; Business planning; Signaling (Psychology); Custom Computer Programming Services; Computer systems design and related services (except video game design and development); Reputation (Sociology)","intellectual property rights; motivations; open innovation; open source; sorting; strategic human capital","This paper studies how business models can be designed to tap effectively into open innovation labor markets with heterogeneously motivated workers. Using data on open source software, we show that motivations are diverse, and demonstrate how managers can strategically influence the flow of code contributions and their impact on project performance. Unlike previous literature using survey data, we exploit the observed pattern of project membership and code contributions-the 'revealed preference' of developers-to infer the motivations driving their decision to contribute. Developers strongly sort along key dimensions of the business model chosen by project managers, especially the degree of openness of the project license. The results indicate an important role for intrinsic motivation, reputation, and labor market signaling, and a more limited role for reciprocity. Copyright © 2014 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR] Copyright of Strategic Management Journal (John Wiley & Sons, Inc.) is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=102276029&site=ehost-live"
"Banking with Ethics: Strategic Moves and Structural Changes of the Banking Industry in the Aftermath of the Subprime Mortgage Crisis.","Paulet, Elisabeth; Parnaudeau, Miia; Relano, Francesc","Journal of Business Ethics",="01674544",,="Sep2015","131","1","199","9","109555732","10.1007/s10551-014-2274-9","Springer Nature","Article","Global Financial Crisis, 2008-2009; Social responsibility of business; Organizational structure; Profitability; Organizational transparency; Banking laws; Business models; Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors; Commercial Banking; Other Depository Credit Intermediation; Personal and commercial banking industry; Savings Institutions; Banking industry ethics; Factor analysis; Principal components analysis; History","Commercial banks; Corporate social responsibility (CSR); Ethical banks; Green-washing; Principal component analysis","This paper explores the behavior of the banking industry in the new business environment that arose after the subprime crisis. The main hypothesis is that there are two major types of banking institutions: conventional banks and ethical banks. Each has a distinct business model. To test how they have reacted to the new environment, factor analysis techniques have been used. The main findings are twofold. Firstly, the new financial context has indeed caused the behavior of mainstream banks to change. Within this group, one can further distinguish between those that have tried to anticipate the changes by adopting a more responsible financial attitude and those that have merely modified their banking practice to comply with the new regulatory framework. Secondly, there are the so-called ethical banks. Interestingly, their behavior has scarcely been altered by the new financial context. The main conclusion is that the different response of both types of banks reflects the existence of a distinct business model. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=109555732&site=ehost-live"
"OM Forum—New Opportunities for Operations Management Research in Sustainability.","Agrawal, Vishal V.; Atasu, Atalay; Van Wassenhove, Luk N.","Manufacturing & Service Operations Management",="15234614",,="Winter2019","21","1","1","12","135747494","10.1287/msom.2017.0699","INFORMS: Institute for Operations Research","Article","Operations management; Economic policy; Product design; Business models; Industrial Design Services; Sustainability","business models; circular economy; product design; sustainable operations","Operations management (OM) research has made several important contributions to environmental sustainability over the last two decades. In this article, we point to a new opportunity on the horizon—the circular economy movement, which is gaining significant traction in practice. We introduce the concept and highlight the building blocks behind it. We also explain why this trend in practice can provide an opportunity for the OM community. To do so, we describe four companies that have been positioned as prime examples of implementing the circular economy concept and discuss the operational challenges faced by them. We draw on them to identify several promising and open questions for OM research and explain why an operations perspective is critical in this context. [ABSTRACT FROM AUTHOR] Copyright of Manufacturing & Service Operations Management is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135747494&site=ehost-live"
"Toward Mass Adoption of Electric Vehicles: Impact of the Range and Resale Anxieties.","Lim, Michael K.; Ho-Yin Mak; Ying Rong","Manufacturing & Service Operations Management",="15234614",,="Winter2015","17","1","101","19","109559692","10.1287/msom.2014.0504","INFORMS: Institute for Operations Research","Article","Resale; Business models; Profitability; Electric vehicles; Anxiety","consumer anxieties; durable goods; electric vehicles; emission savings; secondary market","Key to the mass adoption of electric vehicles (EVs) is the establishment of successful business models based on sound understanding of consumer behavior in adopting this new technology. In this paper, we study the impact of two major barriers to mass adoption of EVs: (i) range anxiety, the concern that the driving range of EVs may be insufficient to meet the driving needs, and (ii) resale anxiety, the concern that used values of EVs may deteriorate quickly. Using a stylized model calibrated to a data set based on the San Francisco Bay Area, we show that although both types of consumer anxieties typically harm the firm's profit, they often improve consumer surplus. In addition, we show that a business model that requires consumers to lease the EV batteries (rather than purchase them) may lead to a greater level of adoption and emission savings when the level of resale anxiety is high. Further, a business model that offers EV range improvement through enhanced charging infrastructure typically yields greater adoption and consumer surplus, but lowers the firm's profit, compared with one that offers enlarged batteries. Overall, we find that the combinations of battery owning/leasing with enhanced charging service, referred to as the 4O1E5 and 4L1E5 models in our paper, typically yield the best balance among the objectives of EV adoption, emission savings, profitability, and consumer surplus, when the degree of resale anxiety is low and high, respectively. [ABSTRACT FROM AUTHOR] Copyright of Manufacturing & Service Operations Management is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=109559692&site=ehost-live"
"Digital affordances, spatial affordances, and the genesis of entrepreneurial ecosystems.","Autio, Erkko; Nambisan, Satish; Thomas, Llewellyn D. W.; Wright, Mike","Strategic Entrepreneurship Journal",="19324391",,="Mar2018","12","1","72","24","128312376","10.1002/sej.1266","Wiley-Blackwell","Article","Technological innovations; Industrial clusters; Business enterprises; Industrial management; Innovation management","architectural knowledge; business model innovation; digital affordance; entrepreneurial ecosystem; spatial affordance; start‐up","<bold>Research Summary:</bold> Entrepreneurial ecosystems command increasing attention from policy makers, academics, and practitioners, yet the phenomenon itself remains under‐theorized. Specifically, the conceptual similarities and differences of entrepreneurial ecosystems relative to, for instance, clusters, “knowledge clusters,” regional systems of innovation, and “innovative milieus” remain unclear. Drawing on research on industrial districts and agglomerations, clusters, and systems of innovation, we suggest that entrepreneurial ecosystems differ from traditional clusters by their emphasis on the exploitation of digital affordances; by their organization around entrepreneurial opportunity discovery and pursuit; by their emphasis on business model innovation; by voluntary horizontal knowledge spillovers; and by cluster‐external locus of entrepreneurial opportunities. We highlight how these distinctive characteristics set entrepreneurial ecosystems apart from other cluster types, propose a structural model of entrepreneurial ecosystems, summarize the articles in this special issue, and suggest promising avenues for future research. <bold>Managerial Summary:</bold> Entrepreneurial ecosystems command increasing attention from policy makers, academics, and practitioners. We suggest that entrepreneurial ecosystems differ from traditional clusters by their emphasis on the exploitation of digital affordances; by their organization around entrepreneurial opportunity discovery and pursuit; by their emphasis on business model innovation; by voluntary horizontal knowledge spillovers; and by cluster‐external locus of entrepreneurial opportunities. We highlight how these distinctive characteristics set entrepreneurial ecosystems apart from regional cluster phenomena discussed in received economic geography and innovation literatures. We suggest policy makers need to adopt novel approaches to stimulate entrepreneurial ecosystems that differ from those in place to develop industrial clusters or support already established small‐ and medium‐sized companies. [ABSTRACT FROM AUTHOR] Copyright of Strategic Entrepreneurship Journal is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=128312376&site=ehost-live"
"Experiential Learning, Bargaining Power, and Exclusivity in Technology Licensing.","Khoury, Theodore A.; Pleggenkuhle-Miles, Erin G.; Walter, Jorge","Journal of Management",="01492063",,="Mar2019","45","3","1193","32","135207290","10.1177/0149206317693084","Sage Publications Inc.","Article","Bargaining power; Licenses; Technology transfer; Commercialization; Business models; Technological innovations","bargaining power; bioscience industry; experiential learning; interfirm alliances; nonexclusivity; perspective taking; technology licensing; transaction costs","Licensing has become the central form of interfirm technology transfer and commercialization in the market for inventions. However, despite the large representation and growth of this business model, the resolution of key contractual provisions is still regarded as idiosyncratic, and little is known about how experience with prior relationships or bargaining power position affects contract outcomes. In an attempt to further understand how these transactions unfold, we present and test a theoretical framework disentangling experience benefits and transaction costs associated with licensors' prior involvement in out- versus in-licensing deals and how they affect the important, yet contentious, contractual provision of nonexclusivity. Drawing on transaction cost, experiential learning, and bargaining power theories, we develop new insights explaining when licensors are likely to realize nonexclusive contracts as a function of their prior licensing deals, and when bargaining power moderates the relationships between prior deals and nonexclusivity. Leveraging a 27-year sample of bioscience licensing transactions, this study reveals the dynamic tension between the benefits and transaction costs arising from prior interfirm collaborations, and how a firm's history of collaborations, alongside its bargaining power position, influences contractual outcomes. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135207290&site=ehost-live"
"Advanced manufacturing technology adoption and innovation: A systematic literature review on barriers, enablers, and innovation types.","Stornelli, Aldo; Ozcan, Sercan; Simms, Christopher","Research Policy",="00487333",,="Jul2021","50","6","N.PAG","1","150085214","10.1016/j.respol.2021.104229","Elsevier B.V.","Article","Business literature; Manufacturing processes; Innovations in business; Innovation adoption; Industrial Process Furnace and Oven Manufacturing; Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables; Literature reviews","adoption process; advanced manufacturing; barriers and enablers; Industry 4.0; innovation types; technological adoption","• The paper explores the role of barriers and enablers along the AMT adoption process. • Presents a comprehensive and systematic literature review of empirical research on advanced manufacturing technologies. • Identifies, synthesizes, and critically discusses how adoption barriers and enablers are linked to innovation types. • Provides an analytical framework for the analysis of AMT adoption. • Outlines policy implications on adoption and innovation levels. This study examines the barriers and enablers within the adoption process of advanced manufacturing technologies (AMTs) and their relationship to different innovation types as outcomes of this process. Whilst the requirement to improve AMT adoption is widely acknowledged, the existing literature lacks a comprehensive understanding of the main barriers and enablers within the adoption process. Furthermore, it does not reveal how these barriers and enablers are related to different innovation types. We provide a systematic literature review of the barriers and enablers to AMT adoption. The findings of this review are based on a total of eighty-seven peer-reviewed articles from the business and management literature from 1999-2019. Our findings provide several contributions to the literature. Firstly, by integrating evidence from empirical studies, we identify five main types of barriers and four main types of enablers to adoption. Secondly, we conceptualise three key stages of the AMT adoption process and classify the barriers and enablers on the basis of whether they apply to an individual stage, or whether their influence is pertinent across the whole process. Thirdly, we reveal the relationship between categories of barriers and enablers associated to innovation types outcomes: product, process, service or business model innovations. The results of our study provide important implications for both managers and policy makers based on the evidence of the key barriers and enablers. Further, we suggest several directions for future research, including the need to examine the post-installation stage. [ABSTRACT FROM AUTHOR] Copyright of Research Policy is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150085214&site=ehost-live"
"Reclaiming the Child Left Behind: The Case for Corporate Cultural Responsibility.","Maon, François; Lindgreen, Adam","Journal of Business Ethics",="01674544",,="Sep2015","130","4","755","12","109419365","10.1007/s10551-014-2112-0","Springer Nature","Article","Corporate culture; Social responsibility of business; Business models; Corporations -- Social aspects; Standards; Environmental responsibility; Corporation law; Stakeholders; Business ethics; Cultural values; Attitude (Psychology)","Corporate cultural responsibility; Corporate social responsibility; Cultural carelessness; Cultural destructiveness; Cultural prowess; Shared values","Although a reasonable understanding of corporate social responsibility (CSR) exists, one dimension remains largely ignored. That is, the cultural impacts of corporations, or the bearing, at various levels of their business models, activities, and outcomes on the value systems and enduring beliefs of affected people. We introduce the notion of corporate cultural responsibility (CCR). The way corporations address CCR concerns can be reflected according to three stances: cultural destructiveness, cultural carelessness, and cultural prowess. Taken sequentially, they reflect a growing comprehension and increasingly active consideration of CCR concerns by corporations. In turn, we explicitly address issues related to the complex question of determining the cultural responsibilities of corporate actors; specify key CCR-related conceptualizations; and lay a foundation for discussions, debates, and research efforts centered on CCR concerns and rationales. [ABSTRACT FROM AUTHOR] Copyright of Journal of Business Ethics is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=109419365&site=ehost-live"
"How do business model and health technology design influence each other? Insights from a longitudinal case study of three academic spin-offs.","Lehoux, P.; Daudelin, G.; Williams-Jones, B.; Denis, J.-L.; Longo, C.","Research Policy",="00487333",,="Jul2014","43","6","1025","14","95926394","10.1016/j.respol.2014.02.001","Elsevier B.V.","Article","Business models; Capitalists & financiers; Innovations in business; Capital; Surgical and Medical Instrument Manufacturing; Surgical Appliance and Supplies Manufacturing; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; Medical technology; Case studies","Academic spin-offs; Business model; Innovation management; Medical devices; R&D","Highlights: [•] Business models redefine or reframe technology-based value propositions. [•] Design efforts are redirected, prioritizing capital investors’ value expectations. [•] Industry-level dynamics are likely to constrain business model innovation. [•] Health technology spin-offs need well-thought out alternative business models. [ABSTRACT FROM AUTHOR] Copyright of Research Policy is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=95926394&site=ehost-live"
"Selling Virtual Currency in Digital Games: Implications for Gameplay and Social Welfare.","Guo, Hong; Hao, Lin; Mukhopadhyay, Tridas; Sun, Daewon","Information Systems Research",="10477047",,="Jun2019","30","2","430","17","137146549","10.1287/isre.2018.0812","INFORMS: Institute for Operations Research","Article","Electronic money; Charities; Social impact; Games industry; Price levels; Other Grantmaking and Giving Services; Doll, Toy, and Game Manufacturing; Toy and Hobby Goods and Supplies Merchant Wholesalers","digital games; free-to-play games; in-game purchases; social welfare; virtual currency","The sale of virtual currency has become an important revenue source in the digital gaming industry. This paper analyzes the impact of this business model on players' gaming behavior, the game provider's strategies for virtual currency price and ad level, and social welfare. Our findings have important managerial implications for the gaming industry and policy makers. We find that when the enabling-power rate of virtual currency (i.e., how much players benefit from enhanced gameplay due to virtual currency generated per unit of playing time) is stronger, players have lower incentive to purchase virtual currency. Therefore, the provider should set a lower price to avoid losing too much demand. In the meantime, the marginal benefit of playing the game increases, and thus the provider should set a higher ad level to take advantage of this boosted marginal benefit for players when the base valuation of gameplay is sufficiently low. Finally, we demonstrate that offering in-game purchases of virtual currency as a new business model benefits society as a whole. Our findings suggest that regulators of the gaming industry should be less concerned about the risk of excessive gameplay for games that sell virtual currency compared with those that do not. Despite the growing popularity of in-game purchases of virtual currency in digital games, there is very limited formal research that studies this new business model. This paper builds on the neoclassical labor–leisure model to examine the impact of selling virtual currency on players' gameplay behavior, game provider's strategies, and social welfare. When the game provider offers virtual currency for sale, players have two options to obtain virtual currency— playing the game and purchasing virtual currency directly. We introduce a parameter—the enabling-power rate of virtual currency—to characterize the extent to which virtual currency generated in a unit of playing time can augment players' production of gaming leisure. We find that selling virtual currency reduces the playing time for certain heavy players, whereas it boosts certain light players' playing time. It may also lead to a larger player base allowing more people to enjoy the benefits of playing digital games when the enabling-power rate of virtual currency is sufficiently high. The game provider should charge a higher (lower) virtual currency price for a game with a relatively lower (higher) enabling-power rate of virtual currency. She should also set a higher (lower) ad level for a game with a relatively higher (lower) enabling-power rate if the game's base valuation of gameplay, that is, the valuation of gameplay independent of virtual currency, is sufficiently low. Finally, we demonstrate that selling virtual currency could lead to a win–win–win situation for the game provider, players, and society as a whole. It will alleviate the conflict of interest between the provider's goal of longer playing time to maximize her ad revenue from in-game ads and the social goal of reducing excessive gaming, especially for heavy players. The online appendix is available at https://doi.org/10.1287/isre.2018.0812. [ABSTRACT FROM AUTHOR] Copyright of Information Systems Research is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=137146549&site=ehost-live"
"External Learning Strategies and Technological Search Output: Spinout Strategy and Corporate Invention Quality.","Cirillo, Bruno","Organization Science",="10477039",,="Mar/Apr2019","30","2","361","22","135989837","10.1287/orsc.2018.1233","INFORMS: Institute for Operations Research","Article","Patents; Marketing strategy; Externalities; Joint ventures; Business models; All Other Legal Services; Offices of Lawyers","corporate venturing; external learning; knowledge spill-ins; patent quality index; spinouts; uncertainty","The strategic management of knowledge spillovers to employee ventures may provide firms with knowledge spill-ins or the potential to learn from the ventures that they have spun out. However, the mechanisms underlying knowledge spill-ins and their importance for external learning in uncertain technology environments have not been examined in detail. This article compares corporate venturing (CV) spinouts that are supported by parent firms with independent employee spinouts as well as other strategies for external learning, such as investments and alliances. An analysis of the patenting activities of leading corporations operating in the information and communication technology industry reveals that, ceteris paribus, when firms recombine unfamiliar knowledge components developed by their CV spinouts, their inventions are associated with higher quality than comparable firms' inventions that recombine knowledge from the firm's corporate venture capital portfolio ventures, allies, or employee spinouts. This effect is especially pronounced when CV spinout inventors hold parent-specific technological expertise. The results are robust across several econometric specifications that account for selection and intrinsic differences in external learning strategies. Furthermore, the results indicate that CV spinouts benefit their parent firms by reducing uncertainty relative to other strategic formats for external learning in unfamiliar technological areas. The detailed theoretical and practical implications derived from this research reflect perspectives on technology strategy and corporate renewal. [ABSTRACT FROM AUTHOR] Copyright of Organization Science is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135989837&site=ehost-live"
